404 Files,Comments
A_Administrator/adm-emails-collect-disable.htm,deleted
A_Administrator/adm-emails-collect-enable.htm,deleted
A_Administrator/adm-emails-language-preference.htm,in development
A_Administrator/adm-ilt-learnerexample-popup.htm,deleted
A_Administrator/adm_assignment_bulk_add.htm,in development
A_Administrator/adm_content_providers_udemy-old.htm,deleted
A_Administrator/adm_external_learing.htm,deleted
A_Administrator/admn_cc_areas_create.htm,deleted
A_Administrator/admn_cc_library.htm,deleted
A_Administrator/admn_get_started.htm,Part of Training DB - keep
A_Administrator/admn_landing.htm,no - DNO
A_Administrator/admn_rpt_AG_column_descriptions.htm,deleted
A_Administrator/admn_trng_start.htm,deleted
A_Administrator/percipio_sys_reqs_for_digital_badges_only.htm,in development
A_Administrator/resources.htm,deleted
A_Administrator/tipsnew-engagement.htm,deleted
A_Administrator/z_IE_support_end.htm
B_Learner/MSTeamApp/mstapp_help.htm,deleted from MadCap
B_Learner/Mobile/mbl_access_content_qsg.htm,Pages for QSGs - keep
B_Learner/Mobile/mbl_additional_features_qsg.htm,Pages for QSGs - keep
B_Learner/Mobile/mbl_home_screen.htm,in development
B_Learner/Player_Compliance/52927.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/52928.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/52929.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/52932.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/52933.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/52938.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/52965.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/52966.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/52967.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_about.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_ask_mentor.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_audio_description.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_completion_status.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_course_tests.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_crs_menu_overview.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_general_settings.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_it_skills_shortcuts.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_it_tests_shortcuts.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_keyboard_options.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_overview.htm,Move to DNO-Archived files 
B_Learner/Player_Compliance/plyr_progress_tests_tab_overview.htm,Move to DNO-Archived files 
